gene	geneName	baseMean	log2FC	stderror	padj
CNAG_05137	NA	329.892	0.003	0.384	0.9976
CNAG_05138	NA	1733.111	0.701	0.263	0.05512
CNAG_05139	UGT1	366.25	0.825	0.352	0.1044
CNAG_05140	NA	1046.092	-0.565	0.285	0.1919
CNAG_05141	NA	294.885	-0.745	0.389	0.2134
CNAG_05142	ALG3	116.135	0.191	0.556	0.8852
CNAG_05144	CAN2	870.729	-0.544	0.291	0.2295
CNAG_05145	NA	731.354	-1.029	0.299	0.007713
CNAG_05146	NA	177.583	0.006	0.562	0.9975
CNAG_05147	NA	126.747	-1.259	0.594	0.1551
CNAG_05148	CXT1	749.859	0.172	0.33	0.8173
CNAG_05149	NA	255.95	-0.554	0.434	0.4712
CNAG_05150	NA	564.614	-0.385	0.317	0.5024
CNAG_05151	NA	206.313	-0.389	0.487	0.6926
CNAG_05152	LRO1	484.434	-0.542	0.346	0.3415
CNAG_05153	GAT5	377.842	-0.872	0.386	0.1214
CNAG_05154	NA	746.1	0.232	0.291	0.693
CNAG_05155	PTP2	681.415	1.697	0.3	1.138e-6
CNAG_05156	NA	1050.414	-0.553	0.272	0.1775
CNAG_05157	NA	167.094	-0.371	0.481	0.7024
CNAG_05158	NA	467.438	0.1	0.34	0.9034
CNAG_05159	NA	92.384	0.997	0.619	0.3238
CNAG_05160	NA	1.603	-3.691	4.809	NA
CNAG_05161	NA	40.479	0.123	0.914	0.9577
CNAG_05162	NA	59.076	0.433	0.806	0.8114
CNAG_05163	NA	515.615	-0.395	0.321	0.4945
CNAG_05164	NA	288.11	0.073	0.419	0.942
CNAG_05165	NA	103.253	-0.08	0.624	0.9592
CNAG_05166	NA	1493.087	0.03	0.248	0.9616
CNAG_05167	NA	75.466	7.659	1.264	1.371e-7
CNAG_05168	NA	16.863	2.598	1.527	0.2865
CNAG_05169	NA	40.024	1.595	0.912	0.2698
CNAG_05170	PIP2	242.993	0.288	0.42	0.7431
CNAG_05171	NA	152.717	0.357	0.571	0.7722
CNAG_05172	NA	523.059	0.979	0.325	0.02418
CNAG_05173	NA	55.805	-0.461	0.836	0.806
CNAG_05176	HOB3	597.784	-0.79	0.352	0.1245
CNAG_05177	NA	297.615	-0.402	0.404	0.6033
CNAG_05178	NA	11.808	2.084	1.996	NA
CNAG_05179	NA	1932.214	0.744	0.312	0.09708
CNAG_05180	NA	220.408	0.707	0.523	0.4338
CNAG_05181	BWC1	306.05	1.432	0.413	0.007201
CNAG_05182	NA	617.961	-0.13	0.355	0.8772
CNAG_05183	NA	253.025	0.15	0.439	0.8856
CNAG_05184	NA	3.685	0.999	3.411	NA
CNAG_05185	NA	53.201	-2.325	0.87	0.05398
